2025-03-03 23:52:18.7183 | INFO | Microsoft.Hosting.Lifetime | Now listening on: https://localhost:7224 
2025-03-03 23:52:20.1497 | INFO | Microsoft.Hosting.Lifetime | Now listening on: http://localhost:5186 
2025-03-03 23:52:22.0062 | INFO | Microsoft.Hosting.Lifetime | Application started. Press Ctrl+C to shut down. 
2025-03-03 23:52:23.0099 | INFO | Microsoft.Hosting.Lifetime | Hosting environment: Development 
2025-03-03 23:52:23.0323 | INFO | Microsoft.Hosting.Lifetime | Content root path: C:\Users\JYOTI THAKUR\source\repos\HelloGreetingApplication\HelloGreetingApplication\ 
2025-03-03 23:52:23.2430 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7224/Swagger/index.html - - 
2025-03-03 23:52:24.7343 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7224/Swagger/index.html - - - 200 - text/html;charset=utf-8 1497.5040ms 
2025-03-03 23:52:24.8603 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7224/_framework/aspnetcore-browser-refresh.js - - 
2025-03-03 23:52:24.9890 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7224/_vs/browserLink - - 
2025-03-03 23:52:24.9890 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7224/Swagger/index.js - - 
2025-03-03 23:52:25.0020 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7224/Swagger/index.js - - - 200 - application/javascript;charset=utf-8 11.0287ms 
2025-03-03 23:52:25.0020 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7224/_framework/aspnetcore-browser-refresh.js - - - 200 12006 application/javascript;+charset=utf-8 142.1982ms 
2025-03-03 23:52:25.4724 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7224/_vs/browserLink - - - 200 - text/javascript;+charset=UTF-8 483.4037ms 
2025-03-03 23:52:25.9447 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7224/Swagger/v1/swagger.json - - 
2025-03-03 23:52:26.0185 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request finished HTTP/2 GET https://localhost:7224/Swagger/v1/swagger.json - - - 200 - application/json;charset=utf-8 74.1977ms 
2025-03-03 23:52:52.9766 | INFO | Microsoft.AspNetCore.Hosting.Diagnostics | Request starting HTTP/2 GET https://localhost:7224/HelloGreetingApplication - - 
